,Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,Year,Region,Length,Type,Age,Sex,Lifestage,Place.Holder,Lat,Long,State,locality,Species,month
51,UA_11817,12.3462224,21.18560044,25.17444649,NA,22.83890397,10.92129761,24.72313156,NA,-23.8491409,14.78027973,26.20833333,8.426333333,1973,SC,139,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
52,UA_35440,12.29280935,21.88683777,25.80415453,NA,20.99738899,20.12941978,30.67364002,NA,-19.23749319,18.22466134,26.46833333,11.098,1996,SC,1300,Total Length,,M,,1,60.26666667,-147.3266667,AK,,Harbor Seal,NA
53,UA_35449,11.07197151,26.4195917,27.50342436,NA,20.83387426,14.16126835,25.88511649,NA,-21.98555107,15.29141496,27.60433333,9.511333333,1996,SC,1490,Total Length,,F,,1,60.30333333,-147.3716667,AK,,Harbor Seal,NA
54,UA_3702,10.63146699,24.00934562,27.0806942,NA,23.69235953,12.01511693,27.38625962,NA,-23.72394227,15.84450192,31.22233333,10.25633333,1955,SC,NA,,,F,,1,60.5,-145.75,AK,,Harbor Seal,NA
55,UA_11836,12.04110862,19.92833791,23.03947597,NA,20.51402264,13.51143348,22.14541197,NA,-19.77558574,14.80049299,21.64233333,9.5355,1973,SC,104,Standard Length,,M,,1,60.23333333,-147.3833333,AK,,Harbor Seal,NA
56,UA_11921,13.56789429,22.48827454,22.86279134,NA,21.72372043,14.94294219,26.44854172,NA,-25.16526734,16.20620664,31.35566667,9.573666667,1972,SC,147.5,Standard Length,,F,,1,60.45,-144.9166667,AK,,Harbor Seal,NA
57,UA_19173,12.78464882,25.09381301,26.21155931,NA,23.60837475,15.02239851,28.90532733,NA,-13.93887561,19.08158403,28.93133333,12.7055,1981,BB,NA,,,F,Adult,1,55.88333333,-160.4666667,AK,,Harbor Seal,NA
58,UA_28941,16.60413161,25.32406944,24.0934068,NA,23.16734593,14.39374103,29.77266041,NA,-6.953850468,19.28735351,27.46166667,11.53016667,1966,BB,NA,,,M,,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
59,UA_35438,11.23180224,22.57273679,26.3046797,NA,21.51046351,13.87938884,26.47512424,NA,-22.50877416,16.07525871,24.71416667,10.01466667,1996,SC,1350,Total Length,,M,,1,60.66166667,-145.62,AK,,Harbor Seal,NA
60,UA_47510,15.05204375,26.5673643,25.31013883,NA,25.98485828,16.89428471,31.32704147,NA,-12.0482422,19.55264278,28.9495,13.69766667,1985,BB,1447,Total Length,,M,,1,56.885,-158.8666667,AK,,Harbor Seal,NA
61,UA_11747,12.2669721,21.72990016,22.533795,NA,22.61087337,13.49253471,26.40074615,NA,-19.70855669,16.40026247,24.808,8.8125,1973,SC,102,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
62,UA_11770,12.25039816,22.60544109,24.68858289,NA,18.91725577,13.00728982,27.08975607,NA,-9.323336886,16.79532889,24.87683333,9.579833333,1972,SC,1410,Total Length,,M,,1,60.16666667,-147.25,AK,,Harbor Seal,NA
63,UA_11771,13.43984902,23.24771596,21.51599304,NA,24.2405071,13.3684849,28.31937285,NA,-25.67322232,15.48805543,26.08041667,9.470916667,1980,SC,1320,Total Length,,F,,1,60.25,-147.4666667,AK,,Harbor Seal,NA
64,UA_11771,13.43984902,23.24771596,21.51599304,NA,24.2405071,13.3684849,28.31937285,NA,-25.67322232,15.48805543,26.08041667,9.470916667,1972,SC,1320,Total Length,,F,,1,60.25,-147.4666667,AK,,Harbor Seal,NA
65,UA_11827,11.32150629,22.99267503,24.60078848,NA,26.80370804,13.66581313,28.9607796,NA,-24.41477546,15.79023901,27.39733333,9.956833333,1975,BB,149,Standard Length,,M,,1,60.28333333,-148.0166667,AK,,Harbor Seal,NA
66,UA_19159,12.50804603,25.8345259,26.9800071,NA,27.23199097,16.92511294,30.7904029,NA,-22.27477649,19.51236271,31.41883333,13.855,1981,BB,NA,,,M,Adult,1,56.9,-158.8,AK,,Harbor Seal,NA
67,UA_52184,16.28135842,26.16475688,26.9986976,NA,25.63030617,14.57765668,31.3549661,NA,-20.69416918,20.27287185,29.41466667,11.82733333,1997,BB,1540,Total Length,,F,,1,58.2,-157.4166667,AK,,Harbor Seal,NA
68,UA_19172,22.25380943,25.49459532,25.80491378,NA,27.56744057,14.4105091,28.94290882,NA,-30.74493761,20.04058422,29.623,12.53133333,1981,BB,1423,Total Length,,M,Adult,1,55.88333333,-160.4666667,AK,,Harbor Seal,NA
69,UA_19175,10.15163314,25.79730758,25.28239972,NA,25.57878353,15.35604063,29.3290971,NA,-24.51601828,16.80572957,29.31966667,12.089,1981,BB,NA,,,F,Adult,1,55.88333333,-160.4666667,AK,,Harbor Seal,NA
70,UA_28935,20.21478996,24.52929781,23.19079559,NA,26.14171004,14.8610934,28.81696152,NA,-34.46362004,19.92479366,29.298,12.222,1966,BB,NA,,,M,,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
71,UA_28940,13.72788795,26.04861812,23.45032342,NA,26.56294538,14.89327487,29.96966963,NA,-35.19497795,19.68532356,30.004,12.777,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
72,UA_28943,29.66171144,25.89694168,25.93171929,NA,26.20053856,14.52332763,30.47486738,NA,-29.77691304,20.34772099,29.42433333,13.453,1966,BB,NA,,,,,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
73,UA_42151,13.35796625,23.65075222,23.99964298,NA,25.54603375,12.6348952,26.94860657,NA,-30.26020604,19.29564831,26.716,9.3495,1996,BB,1470,Total Length,,F,,1,58.2,-157.5,AK,,Harbor Seal,NA
74,UA_52183,15.73583533,23.61776081,23.15544464,NA,22.27892599,15.24028271,27.45930373,NA,-2.859779455,19.11204648,25.80383333,9.434333333,1997,BB,NA,,,F,,1,58.18333333,-157.45,AK,,Harbor Seal,NA
75,UA_19122,12.95065053,20.85934073,23.31667925,NA,23.83724571,8.193301214,25.528172,NA,-29.55084754,16.3557161,24.718,7.046333333,1972,SE,1600,Total Length,,M,Adult,1,57.31666667,-133.5,AK,,Harbor Seal,NA
76,UA_37972,13.43560857,22.69271625,27.1118343,NA,25.19281291,11.94976813,28.15425237,NA,-34.57231187,17.57336456,31.58033333,9.008666667,1996,SE,1530,Total Length,,M,,1,57.12333333,-135.4333333,AK,,Harbor Seal,NA
77,UA_99665,11.34118073,19.89253789,21.78194775,NA,21.81739136,8.587925548,25.41380728,NA,-30.55631942,14.65640645,24.993,6.036666667,2006,SE,1680,Total Length,12,M,Adult,1,55.58,-133.1566667,AK,,Harbor Seal,NA
78,UA_11743,17.22115332,21.53838556,23.36165538,NA,23.96195219,21.50036809,24.46363491,NA,-27.58107151,21.30689114,27.943,10.69633333,1973,SC,137,Standard Length,,M,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
79,UA_19124,16.24270236,23.77559751,23.97857351,NA,22.60862638,12.96005757,27.78132134,NA,-33.22825665,19.61024777,29.819,10.65133333,1972,SE,1460.5,Total Length,,F,Adult,1,57.55,-133.5166667,AK,,Harbor Seal,NA
80,UA_35439,18.6031582,21.82547659,22.54171677,NA,21.83552988,11.26251764,25.85428676,NA,-30.184016,21.24304034,30.62433333,8.526666667,1996,SC,1480,Total Length,,F,,1,60.35666667,-147.1033333,AK,,Harbor Seal,NA
81,UA_47511,15.50824653,24.23105175,27.18376359,NA,27.57338956,14.16026417,30.30702258,NA,-28.43049729,23.79478852,29.646,12.856,1985,BB,1421,Total Length,,M,,1,56.885,-158.8666667,AK,,Harbor Seal,NA
82,UA_85206,19.72649641,22.48190096,23.7931115,NA,22.15110756,15.21200053,25.42727194,NA,-28.41562715,23.88152288,29.54633333,11.85166667,2006,SE,960,Total Length,,M,,1,55.54,-131.759,AK,,Harbor Seal,NA
83,UA_19161,11.62772555,25.85589696,26.14977462,NA,27.71395518,17.16733922,26.21360746,NA,-27.4880229,19.2197985,24.80433333,10.59466667,1981,BB,NA,,,M,Adult,1,56.9,-158.8,AK,,Harbor Seal,NA
84,UA_19174,11.2287841,23.63804449,25.10627085,NA,25.51127543,13.30931174,25.57010599,NA,-23.90969382,15.49729441,24.70966667,11.361,1981,BB,NA,,,M,,1,55.88333333,-160.4666667,AK,,Harbor Seal,NA
85,UA_28936,9.557999673,26.26758391,28.10272162,NA,27.6886984,18.88829997,28.5602244,NA,-23.48364802,19.05203075,31.60566667,12.48366667,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
86,UA_28937,11.02194112,25.25676971,25.81489205,NA,28.00504482,18.38866078,29.01772588,NA,-22.5209771,20.9532015,31.85733333,11.735,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
87,UA_42152,10.84533366,24.01708276,25.97694504,NA,26.02496827,16.27670003,25.02044226,NA,-20.68035198,21.14596925,29.13,12.10933333,1996,BB,1360,Total Length,,F,,1,58.2,-157.5,AK,,Harbor Seal,NA
88,UA_43044,11.00154923,25.37828885,26.81139581,NA,25.72939123,16.65402159,26.44322735,NA,-25.18997285,17.24970559,30.193,11.847,1996,BB,1215,Total Length,,F,,1,58.66666667,-160.25,AK,,Harbor Seal,NA
89,UA_28938,10.76482238,25.33302131,28.08585554,NA,27.27679396,12.42084429,30.05616637,NA,-18.17889165,18.50592362,28.28033333,12.49233333,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
90,UA_35447,14.92626872,23.29327775,26.69895078,NA,24.45760672,10.75073128,27.8452201,NA,-29.08880684,15.33978597,28.10333333,14.457,1996,SC,1440,Total Length,,M,,1,60.30333333,-147.3716667,AK,,Harbor Seal,NA
91,UA_35450,11.02733252,22.41422343,23.88957823,NA,22.47493739,10.71966748,25.67421507,NA,-27.84046492,15.8838209,25.78533333,7.952,1996,SC,1640,Total Length,,M,,1,60.30333333,-147.3716667,AK,,Harbor Seal,NA
92,UA_84958,12.29280062,22.48858393,24.46143117,NA,21.80843872,6.209699378,26.42421758,NA,-28.76113588,15.59763677,27.9305,7.0115,2002,SC,1440,Total Length,16,F,Adult,1,60.78888889,-146.6577778,AK,,Harbor Seal,NA
